featureIDs,X4132_1A_80MeOH_NdCL3.mzML,X4132_2A_80MeOH_NdCL3.mzML,X4132_3A_80MeOH_NdCL3.mzML,X4132_4A_80MeOH_NdCL3.mzML,X4133_1A_80MeOH_NdCl3.mzML,X4133_2A_80MeOH_NdCl3.mzML,X4133_3A_80MeOH_NdCl3_.mzML,X4133_4A_80MeOH_NdCl3_.mzML,logFC,pvalue,logpval,Sample_Type,,,
218,1.1746072229255e-05,6.14912761182867e-05,7.30224451087847e-07,1.31813213288806e-06,2.58829452527549e-05,0.000250083,6.61940884241294e-06,1.14521470746981e-05,-1.965552306,0.427802546,0.368756635,Not Significant,,,
195,2.91623741675233e-07,9.28350909448875e-06,2.40808917350663e-07,3.18334142793712e-07,1.14851369163808e-06,0.000103516,1.05373784871851e-06,6.1050452312242e-05,-4.040533659,0.215048288,0.667464011,Not Significant,,,
335,2.91623741675233e-07,8.60524692300916e-06,2.40808917350663e-07,3.18334142793712e-07,3.11757130433537e-06,1.28651213622196e-05,2.35805769799878e-07,1.9017763260331e-05,-1.897756839,0.247228489,0.606901485,Not Significant,,,
326,5.32583613966138e-06,4.42654200795409e-05,4.92501869675845e-06,3.34973496361587e-06,1.96421134524648e-05,8.09234261154816e-05,1.03686630787187e-05,0.000107485,-1.916311626,0.191148073,0.718630075,Not Significant,,,
245,1.06059461882487e-05,3.5510377640451e-05,1.21890059583082e-05,4.17025336362737e-06,1.38446494774273e-05,4.42015176840615e-05,9.23091471873596e-06,4.19660485053652e-05,-0.806178193,0.349401578,0.456675138,Not Significant,,,
316,1.47199795199751e-05,5.48703721120871e-05,1.69297118333213e-05,4.79088919689775e-06,1.70942668138022e-05,7.41983952093992e-05,1.30851279648042e-05,8.56694893589014e-05,-1.057498547,0.311676553,0.506295867,Not Significant,,,
276,0.000136783,0.000310378,0.000129928,0.000106783,0.000111978,0.000269364,7.53096920529616e-05,0.000358786,-0.253848322,0.701979165,0.153675778,Not Significant,,,
329,1.44714713252653e-05,4.15637758582523e-05,1.3839387761012e-05,4.80456485959622e-06,1.33550423428647e-05,4.15182006689959e-05,9.40473666662511e-06,4.64523543252564e-05,-0.568272121,0.494991504,0.305402256,Not Significant,,,
217,2.21714534383983e-06,9.07140983392914e-06,1.53747431708614e-06,3.18334142793712e-07,2.93191015147408e-07,1.23830465838789e-05,2.35805769799878e-07,1.3900696889378e-05,-1.028474372,0.458085075,0.339053858,Not Significant,,,
269,0.000166717,0.000474898,0.000127829,9.04123612895321e-05,0.000153872,0.000466054,0.000109065,0.00051765,-0.535878483,0.507526232,0.294541506,Not Significant,,,
